end,value,state,type
4/21/2012,387000,nat,h
4/28/2012,372000,nat,h
05/05/2012,373000,nat,h
05/12/2012,369000,nat,h
5/19/2012,371000,nat,h
5/26/2012,381000,nat,h
06/02/2012,377000,nat,h
06/09/2012,383000,nat,h
6/16/2012,384000,nat,h
6/23/2012,380000,nat,h
6/30/2012,372000,nat,h
07/07/2012,360000,nat,h
7/14/2012,390000,nat,h
7/21/2012,368000,nat,h
7/28/2012,372000,nat,h
08/04/2012,371000,nat,h
08/11/2012,369000,nat,h
8/18/2012,376000,nat,h
8/25/2012,377000,nat,h
09/01/2012,371000,nat,h
09/08/2012,393000,nat,h
9/15/2012,392000,nat,h
9/22/2012,377000,nat,h
9/29/2012,376000,nat,h
10/06/2012,350000,nat,h
10/13/2012,386000,nat,h
10/20/2012,374000,nat,h
10/27/2012,364000,nat,h
11/03/2012,365000,nat,h
11/10/2012,446000,nat,h
11/17/2012,406000,nat,h
11/24/2012,388000,nat,h
12/01/2012,375000,nat,h
12/08/2012,340000,nat,h
12/15/2012,356000,nat,h
12/22/2012,362000,nat,h
12/29/2012,362000,nat,h
01/05/2013,363000,nat,h
01/12/2013,344000,nat,h
1/19/2013,339000,nat,h
1/26/2013,366000,nat,h
02/02/2013,361000,nat,h
02/09/2013,347000,nat,h
2/16/2013,362000,nat,h
2/23/2013,342000,nat,h
03/02/2013,340000,nat,h
03/09/2013,343000,nat,h
3/16/2013,343000,nat,h
3/23/2013,358000,nat,h
3/30/2013,375000,nat,h
04/06/2013,359000,nat,h
4/13/2013,356000,nat,h
4/20/2013,343000,nat,h
4/27/2013,331000,nat,h
05/04/2013,335000,nat,h
05/11/2013,360000,nat,h
5/18/2013,343000,nat,h
5/25/2013,353000,nat,h
06/01/2013,346000,nat,h
06/08/2013,337000,nat,h
6/15/2013,353000,nat,h
6/22/2013,347000,nat,h
6/29/2013,340000,nat,h
07/06/2013,351000,nat,h
7/13/2013,344000,nat,h
7/20/2013,355000,nat,h
7/27/2013,334000,nat,h
08/03/2013,339000,nat,h
08/10/2013,327000,nat,h
8/17/2013,340000,nat,h
8/24/2013,336000,nat,h
8/31/2013,325000,nat,h
09/07/2013,300000,nat,h
9/14/2013,323000,nat,h
9/21/2013,314000,nat,h
9/28/2013,319000,nat,h
10/05/2013,368000,nat,h
10/12/2013,368000,nat,h
10/19/2013,351000,nat,h
10/26/2013,347000,nat,h
11/02/2013,342000,nat,h
11/09/2013,340000,nat,h
11/16/2013,331000,nat,h
11/23/2013,316000,nat,h
11/30/2013,312000,nat,h
12/07/2013,354000,nat,h
12/14/2013,364000,nat,h
12/21/2013,334000,nat,h
12/28/2013,332000,nat,h
01/04/2014,322000,nat,h
01/11/2014,318000,nat,h
1/18/2014,327000,nat,h
1/25/2014,340000,nat,h
